aAcc,mIoU,mAcc,mDice,mFscore,mPrecision,mRecall,data_time,time,step
83.3,71.38,83.3,83.3,83.3,83.3,83.3,0.5965366797013716,3.4660282135009766,500.0
89.67,81.28,89.67,89.67,89.67,89.67,89.67,0.00795664389928182,0.24776456753412882,1000.0
86.07,75.55,86.07,86.07,86.07,86.07,86.07,0.006572028001149495,0.24129406611124674,1500.0
81.18,68.32,81.18,81.18,81.18,81.18,81.18,0.006251096725463867,0.25876357158025104,2000.0
90.24,82.21,90.24,90.24,90.24,90.24,90.24,0.006802856922149658,0.27472994724909466,2500.0
88.67,79.65,88.67,88.67,88.67,88.67,88.67,0.00703352689743042,0.26449209451675415,3000.0
88.56,79.47,88.56,88.56,88.56,88.56,88.56,0.006745437781016032,0.26367924610773724,3500.0
90.33,82.37,90.33,90.33,90.33,90.33,90.33,0.007303456465403239,0.2687947750091553,4000.0
91.99,85.16,91.99,91.99,91.99,91.99,91.99,0.008201122283935547,0.265659232934316,4500.0
88.18,78.87,88.18,88.18,88.18,88.18,88.18,0.006839176019032796,0.2690999110539754,5000.0
92.46,85.98,92.46,92.46,92.46,92.46,92.46,0.006813645362854004,0.267827570438385,5500.0
93.52,87.84,93.52,93.52,93.52,93.52,93.52,0.005635261535644531,0.2344398299853007,6000.0
89.99,81.8,89.99,89.99,89.99,89.99,89.99,0.005502859751383464,0.23440698782602945,6500.0
82.45,70.14,82.45,82.45,82.45,82.45,82.45,0.005920608838399251,0.23221965630849203,7000.0
91.13,83.7,91.13,91.13,91.13,91.13,91.13,0.0061828891436258955,0.23361249764760336,7500.0
71.77,55.96,71.77,71.77,71.77,71.77,71.77,0.0051209330558776855,0.23097066084543863,8000.0
90.52,82.68,90.52,90.52,90.52,90.52,90.52,0.005626241366068522,0.23197434345881143,8500.0
80.31,67.1,80.31,80.31,80.31,80.31,80.31,0.005860388278961182,0.2323723038037618,9000.0
91.81,84.87,91.81,91.81,91.81,91.81,91.81,0.005635301272074382,0.23114683230717978,9500.0
